Город,Доля вакансий
Москва,35.03
Санкт-Петербург,8.85
Минск,7.31
Киев,5.83
Алматы,3.41
Новосибирск,2.09
Воронеж,2.04
Нижний Новгород,1.96
Екатеринбург,1.68
Нур-Султан,1.49
